,name,description,price,links
0,Laphroaig,Quarter Cask Scotch Whisky 700mL,84.95,https://www.danmurphys.com.au/product/DM_916600/laphroaig-quarter-cask-scotch-whisky-700ml
1,Laphroaig,10 Year Old Single Malt Scotch Whisky 700mL,79.95,https://www.danmurphys.com.au/product/DM_5512/laphroaig-10-year-old-single-malt-scotch-whisky-700ml
2,Glenfarclas,15 Year Old Single Malt Scotch Whisky 700mL,109.95,https://www.danmurphys.com.au/product/DM_143925/glenfarclas-15-year-old-single-malt-scotch-whisky-700ml
3,Glenfarclas,12 Year Old Single Malt Scotch Whisky 700mL,115.99,https://www.danmurphys.com.au/product/DM_117831/glenfarclas-12-year-old-single-malt-scotch-whisky-700ml
4,Glenfiddich,12 Year Old Single Malt Scotch Whisky 700mL,61.95,https://www.danmurphys.com.au/product/DM_17621/glenfiddich-12-year-old-single-malt-scotch-whisky-700ml
5,Glenfiddich,15 Year Old Single Malt Scotch Whisky 700mL,89.95,https://www.danmurphys.com.au/product/DM_903946/glenfiddich-15-year-old-single-malt-scotch-whisky-700ml
6,Glenfarclas,21 Year Old Single Malt Scotch Whisky 700mL,149.95,https://www.danmurphys.com.au/product/DM_903769/glenfarclas-21-year-old-single-malt-scotch-whisky-700ml
7,Glenmorangie,The Original Single Malt Scotch Whisky 10 Year Old 700mL,69.95,https://www.danmurphys.com.au/product/DM_1085/glenmorangie-the-original-single-malt-scotch-whisky-10-year-old
8,Port Ellen,35 Year Old Scotch Whisky 700mL,"3,998.95",https://www.danmurphys.com.au/product/DM_828336/port-ellen-35-year-old-scotch-whisky-700ml
9,The Glenlivet,Founder's Reserve Single Malt Scotch Whisky 700mL,55.90,https://www.danmurphys.com.au/product/DM_859333/the-glenlivet-founder-s-reserve-single-malt-scotch-whisky-700ml
10,Glenfarclas,25 Year Old Single Malt Scotch Whisky 700mL,199.95,https://www.danmurphys.com.au/product/DM_903758/glenfarclas-25-year-old-single-malt-scotch-whisky-700ml
11,Laphroaig,Select Cask Scotch Whisky 700mL,69.95,https://www.danmurphys.com.au/product/DM_782355/laphroaig-select-cask-scotch-whisky-700ml
12,Aberlour,12 Year Old Double Cask Single Malt Scotch Whisky 700mL,84.95,https://www.danmurphys.com.au/product/DM_792092/aberlour-12-year-old-double-cask-single-malt-scotch-whisky
13,Talisker,18 Year Old Single Malt Scotch Whisky 700mL,150.00,https://www.danmurphys.com.au/product/DM_345520/talisker-18-year-old-single-malt-scotch-whisky-700ml
14,Glen Moray,Classic Single Malt Scotch Whisky 700mL,42.90,https://www.danmurphys.com.au/product/DM_903515/glen-moray-classic-single-malt-scotch-whisky-700ml
15,Talisker,10 Year Old Single Malt Scotch Whisky 700mL,79.95,https://www.danmurphys.com.au/product/DM_84910/talisker-10-year-old-single-malt-scotch-whisky-700ml
16,The Balvenie,14yo Caribbean Cask Single Malt Scotch Whisky 700mL,119.95,https://www.danmurphys.com.au/product/DM_793858/the-balvenie-14yo-caribbean-cask-single-malt-scotch-whisky-700m
