,product_details,variatal,size,region,vintage,standard_drinks,alcohol_volumne,country,brand,closure,style
0,"The Quarter Cask is a strong, double cask matured, non-chill filtered malt from the iconic Islay distillery, Laphroaig. With a nose of burning peat embers and hints of coconut and bananas that is then followed by a palate that is deep and complex with smoky flavours. Still quite gentle with a hint of sweetness, this 48% Single Malt has a long, spicy and smoky finish that seems to last an eternity.",Scotch Whisky,700mL,Islay,Laphroaig Quarter Cask,26.5,48.00%,Scotland,Laphroaig,Cork,Single Malt
1,"Laphroaig, founded in 1815 by brothers Donald and Alexander Johnston, has an extremely rich history; neighbourly disputes with Lagavulin and many ownership changes to name a couple. The 10 Year Old Single Malt is Laphroaig's signature malt that is full sparkling gold in colour and has that signature rich smoke and seaweed character with a hint of sweetness. Surprisingly the palate is rich with subtle sweet hints and complex layers of salt and peatiness that evolve on the palate and continue to the long and dry finish.",Scotch Whisky,700mL,Islay,Laphroaig 10 Year Old Single Malt Whisky,22,40.00%,Scotland,10 Year Old,,
2,15 Year Old Single Malt Scotch Whisky 700mL,Scotch Whisky,700mL,Speyside,Glenfarclas 15 Year Old Single Malt Highland Whisky,25,46.00%,,,,
3,"Don't be fooled by the nose into thinking this is a delicate and gentle Highlander, Glenfarclas is a brute at close quarters! Layers of flavour just keep coming and it is a true pleasure to savour.",Scotch Whisky,700mL,Speyside,Glenfarclas 12 Year Old Single Highland Malt Scotch Whisky,24,43.00%,Scotland,12 Year Old,Glenfarclas,Single Malt
4,"After 12 years, this signature single malt by Glenfiddich - the pioneer of the prestigious single malt category - offers a distinctive fresh and fruity nose with a hint of pear followed by a palate of butterscotch, cream, malt and a subtle oak thanks to its long maturation in Oloroso sherry and bourbon oak casks.",Scotch Whisky,700mL,Speyside,22,40.00%,Scotland,12 Year Old,Glenfiddich,Cork,Single Malt
5,"The richly layered Glenfiddich 15 Year Old single malt Scotch whisky is innovatively matured in three types of oak cask: sherry, bourbon and new oak, before being married in thier unique, handcrafted Oregon pine Solera vat. Year on year, this Solera vat is never emptied but is always kept at least half full creating a deliciously harmonious and intense whisky which gets more complex and intriguing every year.",Scotch Whisky,700mL,Speyside,22,40.00%,Scotland,15 Year Old,Glenfiddich,Single Malt,no_information
6,This single malt Whisky is the result of over 170 years of tradition and experience. Sweet malt and smoky peat wreath the gorgeous palate. An outstanding whisky.,Scotch Whisky,700mL,Speyside,24,43.00%,Scotland,21 Year Old,Glenfarclas,Single Malt,no_information
7,"Located in the far north of Scotland, Glenmorangie distillery uses the tallest stills in Scotland, where only the lightest and purist spirit vapours reach the top, giving Glenmorangie its hallmark floral and fruity character.",Scotch Whisky,700mL,Highland,22,40.00%,Scotland,10 Year Old,Glenmorangie,Cork,Single Malt
8,"A glorious grande dame, superb in every way and with a poise and self-assurance born of long experience. An unexpected Port Ellen with a warming, spicy, gingery edge to its traditional sweet and smoky nature: captivating at cask strength, while a little water reveals a charming sweetness in the nose and richness and depth on the palate.",Scotch Whisky,700mL,Islay,31.2,56.50%,Scotland,35 Year Old,Port Ellen,Cork,Single Malt
9,no_information,no_information,no_information,no_information,no_information,no_information,Scotland,The Glenlivet,Cork,Single Malt,no_information
10,This timeless distillery has produced yet another astonishing Scotch. The sheer depth and complexity is truly a wonder to behold. For the true Whisky connoisseur.,Scotch Whisky,700mL,Speyside,24,43.00%,Scotland,25 Year Old,Glenfarclas,Single Malt,no_information
