,name,description,price,product_details,variatal,size,country,closure,target
0,laphroaig,quarter cask scotch whisky 700ml,84.95,"the quarter cask is a strong, double cask matured, non-chill filtered malt from the iconic islay distillery, laphroaig. with a nose of burning peat embers and hints of coconut and bananas that is then followed by a palate that is deep and complex with smoky flavours. still quite gentle with a hint of sweetness, this 48% single malt has a long, spicy and smoky finish that seems to last an eternity.",single malt,700.0,scotland,cork,0
1,laphroaig,10 year old single malt scotch whisky 700ml,79.95,"laphroaig, founded in 1815 by brothers donald and alexander johnston, has an extremely rich history; neighbourly disputes with lagavulin and many ownership changes to name a couple. the 10 year old single malt is laphroaig's signature malt that is full sparkling gold in colour and has that signature rich smoke and seaweed character with a hint of sweetness. surprisingly the palate is rich with subtle sweet hints and complex layers of salt and peatiness that evolve on the palate and continue to the long and dry finish.",single malt,700.0,scotland,unknown,0
2,glenfarclas,15 year old single malt scotch whisky 700ml,109.95,15 year old single malt scotch whisky 700ml,single malt,700.0,scotland,unknown,1
3,glenfarclas,12 year old single malt scotch whisky 700ml,115.99,"don't be fooled by the nose into thinking this is a delicate and gentle highlander, glenfarclas is a brute at close quarters! layers of flavour just keep coming and it is a true pleasure to savour.",single malt,700.0,scotland,unknown,1
4,glenfiddich,12 year old single malt scotch whisky 700ml,61.95,"after 12 years, this signature single malt by glenfiddich - the pioneer of the prestigious single malt category - offers a distinctive fresh and fruity nose with a hint of pear followed by a palate of butterscotch, cream, malt and a subtle oak thanks to its long maturation in oloroso sherry and bourbon oak casks.",single malt,700.0,scotland,cork,0
5,glenfiddich,15 year old single malt scotch whisky 700ml,89.95,"the richly layered glenfiddich 15 year old single malt scotch whisky is innovatively matured in three types of oak cask: sherry, bourbon and new oak, before being married in thier unique, handcrafted oregon pine solera vat. year on year, this solera vat is never emptied but is always kept at least half full creating a deliciously harmonious and intense whisky which gets more complex and intriguing every year.",single malt,700.0,scotland,unknown,0
6,glenfarclas,21 year old single malt scotch whisky 700ml,149.95,this single malt whisky is the result of over 170 years of tradition and experience. sweet malt and smoky peat wreath the gorgeous palate. an outstanding whisky.,single malt,700.0,scotland,unknown,1
7,glenmorangie,the original single malt scotch whisky 10 year old 700ml,69.95,"located in the far north of scotland, glenmorangie distillery uses the tallest stills in scotland, where only the lightest and purist spirit vapours reach the top, giving glenmorangie its hallmark floral and fruity character.",single malt,700.0,scotland,cork,0
8,port ellen,35 year old scotch whisky 700ml,3998.95,"a glorious grande dame, superb in every way and with a poise and self-assurance born of long experience. an unexpected port ellen with a warming, spicy, gingery edge to its traditional sweet and smoky nature: captivating at cask strength, while a little water reveals a charming sweetness in the nose and richness and depth on the palate.",blended,700.0,scotland,cork,1
9,the glenlivet,founder's reserve single malt scotch whisky 700ml,55.9,"the glenlivet founder's reserve, skilful selection of casks enhances the signature fruity flavours of the glenlivet with traditional oak casks being complemented by selective use of american first-fill casks to give a hint of creamy sweetness, creating an exceptionally well-balanced and smooth malt.",single malt,700.0,scotland,cork,0
10,glenfarclas,25 year old single malt scotch whisky 700ml,199.95,this timeless distillery has produced yet another astonishing scotch. the sheer depth and complexity is truly a wonder to behold. for the true whisky connoisseur.,single malt,700.0,scotland,unknown,1
11,laphroaig,select cask scotch whisky 700ml,69.95,"this special laphroaig is crafted from carefully selected casks from each of the distillery's key styles - with one notable addition. the heart of this single malt is drawn from a final maturation in new american oak casks, a rarity used for scotch whisky maturation. with spirit selected by the master distiller from quarter cask, px cask and triple wood (european oak casks) and a final addition of 10 year old, the whisky represents a subtle blending of peat, oak and sweetness. this is a full-bodied expression, featuring laphroaig's trademark 'peat reek' matched by an additional layer of complexity and depth brought about by the fusion of the maturation styles and different oaks.",single malt,700.0,scotland,cork,0
12,aberlour,12 year old double cask single malt scotch whisky 700ml,84.95,"the gateway to double cask maturation, aberlour 12 year old double cask matured has balanced notes of fruits and spices. golden amber with hints of ruby red. soft and rounded with fruity notes of red apples. sherried character and fruity aromas balanced with a rich chocolate, toffee, cinnamon and ginger spices. warming and lingering with some smoky notes and gentle pepperiness.",single malt,700.0,scotland,cork,0
13,talisker,18 year old single malt scotch whisky 700ml,150.0,"produced at the oldest distillery on the isle of skye, talisker single malt scotch whisky has been made by the sea since 1830, talisker single malt scotch whisky has been “made by the sea” since 1830. in fact, few single malts tell the story of their origin better. its smell and taste instantly connect the drinker with the rugged coastal environment. every sip is a taste of the isle of skye itself – a powerhouse; challenging but adored, once discovered rarely left. like a warm welcome from a wild sea. the intense character of talisker comes from fresh water drawn directly from underground springs next to the distillery, two very distinctive wash stills and wooden worm tub condensers which, along with its unusual abv of 45.8%, help set talisker apart from other malts.",single malt,700.0,scotland,unknown,1
14,glen moray,classic single malt scotch whisky 700ml,42.9,"distilled since 1897. a subtle speyside malt, glen moray is matured in oak casks producing a whisky which is light gold in colour and gently spiced with fruity butterscotch notes.",single malt,700.0,scotland,unknown,0
15,talisker,10 year old single malt scotch whisky 700ml,79.95,"produced at the oldest distillery on the isle of skye, talisker single malt scotch whisky has been made by the sea since 1830, it is the stalwart of the talisker family, with a spicy complexity, peppery character, smoky smoothness and sweet, lingering peaty finish.",single malt,700.0,scotland,unknown,0
16,the balvenie,14yo caribbean cask single malt scotch whisky 700ml,119.95,"balvenie caribbean cask was created by the balvenie malt master, david stewart, who celebrated an incredible 50th anniversary at the distillery in 2012. 14 years maturation in traditional oak casks & finished in caribbean rum casks. expect notes of vanilla, toffee, nutmeg & subtle rum soaked raisins.",single malt,700.0,scotland,cork,1
17,lagavulin,16 year old islay single malt scotch whisky 700ml,119.95,"discover the distinct flavours of the islands of scotland with a swill of lagavulin 16 year old islay single malt scotch whisky. our whisky has the intense, full-bodied flavour reminiscent of a driftwood fire at dusk. the taste of dry peat smoke with strong maritime notes results in a complex dram that is complemented by a long, elegant finish",single malt,700.0,scotland,unknown,1
18,spey river,12 year old single malt scotch whisky 700ml,58.0,"spey river 12 year old is a collection of some of the finest single malt scotch whiskies from the renowned speyside region of scotland. known for its combination of refined flavour, aroma and excellence, this speyside malt delivers on all fronts with a level of complexity that is hard to find.",single malt,700.0,scotland,unknown,0
19,the shinobu pure mal,15 year mizunara oak finish whisky,210.0,"deep wood aroma, maltose, nectar, blueberry, mizunara oak, milk coffee; oily, ripe fruit, lemon peel, leather, cinnamon, ginger. finished with a hint of sweet malt with aromas of wooden barrels and a touch of fruity flavor.

summary: this is richer in taste than the 10-year-old whisky. the sweet aftertaste is outstanding; mizunara barrel brings out different levels of spice flavors. deep floral woody scent is also full of vitality.
 
tasting notes:
colour: old gold
nose: deep wood aroma, maltose, nectar, blueberry, mizunara oak, milk coffee
palate: oily, ripe fruit, lemon peel, leather, cinnamon, ginger

finish: a hint of sweet malt with aromas of wooden barrels and a touch of fruity flavor.",blended,700.0,15 year old,unknown,1
20,hakushu,12 year old whisky 700ml,320.0,"the hakushu distillery is know as the 'mountain forest distillery' as it stands amidst fresh streams and lush forests. built with the notion, 'coexisting with nature', a bird sanctuary was set up to help preserve the natural environment, thus preserving the pristine water that goes into creating the whisky. the 12 year old single malt whisky has a crisp and vibrant taste and can be enjoyed on neat, on the rocks or with ice and soda water.",single malt,700.0,hakushu,cork,1
21,hakushu,single malt whisky 700ml,119.99,"produced from the pure waters of the southern japanese alps, hakushu distillers reserve is a green and fresh whisky with a crisp and vibrant taste. now, for the first time ever, this whisky is available outside of japan.",single malt,700.0,japan,cork,1
22,talisker,port ruighe single malt scotch whisky 700ml,92.0,"double matured in port casks, this malt is a toast to the scottish traders who braved the high seas and were instrumental in founding the port wine trade, shipping it to the world. 'port ruighe' (pronounced 'portree') is the gaelic spelling of the once bustling trading port on skye. the port finish combines talisker's powerful maritime character with succulent sweet notes of rich berry fruits for a superb contrasting taste experience.",single malt,700.0,scotland,unknown,0
23,the macallan,12 year old triple cask matured single malt scotch whisky 700ml,109.95,"the macallan triple cask matured 12 years old sees the expert marrying of a series of single malt whiskies. these have been crafted in a triple cask combination of european and american sherry seasoned oak casks and american ex-bourbon oak casks. this complex combination of oak casks delivers an extraordinarily smooth and delicate character, full of citrus fruits, vanilla and fresh oak.",single malt,700.0,scotland,unknown,1
